,Unnamed: 0,ACTUALDATE,TRANSDATE
0,0,"01 янв. 2005 г., 0:00","23 мая 2016 г., 13:01"
1,1,"01 янв. 2005 г., 0:00","23 мая 2016 г., 12:31"
2,2,"01 янв. 2005 г., 0:00","23 мая 2016 г., 12:31"
3,3,"01 янв. 2005 г., 0:00","23 мая 2016 г., 13:01"
4,4,"01 янв. 2005 г., 0:00","23 мая 2016 г., 13:01"
5,5,"01 янв. 2005 г., 0:00","23 мая 2016 г., 13:01"
6,6,"01 янв. 2005 г., 0:00","23 мая 2016 г., 12:31"
7,7,"01 янв. 2005 г., 0:00","23 мая 2016 г., 12:31"
8,8,"31 дек. 2007 г., 23:00","29 марта 2018 г., 14:55"
9,9,"31 дек. 2007 г., 23:00","29 марта 2018 г., 15:13"
